customerID,Contract,InternetService,tenure,MonthlyCharges,PaymentMethod,Churn_Proba,Risque,Action_marketing
8161-QYMTT,Month-to-month,Fiber optic,7,94.1,Electronic check,0.926,Critique,Appel client + remise 20% + proposer contrat annuel
3988-RQIXO,Month-to-month,Fiber optic,1,91.3,Electronic check,0.926,Critique,Appel client + remise 20% + proposer contrat annuel
9681-OXGVC,Month-to-month,Fiber optic,5,100.5,Electronic check,0.926,Critique,Appel client + remise 20% + proposer contrat annuel
4695-WJZUE,Month-to-month,Fiber optic,2,88.55,Electronic check,0.925,Critique,Appel client + remise 20% + proposer contrat annuel
2656-TABEH,Month-to-month,Fiber optic,4,100.2,Electronic check,0.925,Critique,Appel client + remise 20% + proposer contrat annuel
7450-NWRTR,Month-to-month,Fiber optic,12,99.45,Electronic check,0.925,Critique,Appel client + remise 20% + proposer contrat annuel
2545-EBUPK,Month-to-month,Fiber optic,2,84.05,Electronic check,0.925,Critique,Appel client + remise 20% + proposer contrat annuel
5192-EBGOV,Month-to-month,Fiber optic,1,85.7,Electronic check,0.924,Critique,Appel client + remise 20% + proposer contrat annuel
9061-TIHDA,Month-to-month,Fiber optic,13,95.25,Electronic check,0.924,Critique,Appel client + remise 20% + proposer contrat annuel
6350-XFYGW,Month-to-month,Fiber optic,4,94.75,Electronic check,0.923,Critique,Appel client + remise 20% + proposer contrat annuel
6521-YYTYI,Month-to-month,Fiber optic,1,93.3,Electronic check,0.922,Critique,Appel client + remise 20% + proposer contrat annuel
3389-YGYAI,Month-to-month,Fiber optic,8,105.5,Electronic check,0.922,Critique,Appel client + remise 20% + proposer contrat annuel
5277-ZLOOR,Month-to-month,Fiber optic,2,85.55,Electronic check,0.922,Critique,Appel client + remise 20% + proposer contrat annuel
0564-JJHGS,Month-to-month,Fiber optic,9,95.5,Electronic check,0.921,Critique,Appel client + remise 20% + proposer contrat annuel
0107-YHINA,Month-to-month,Fiber optic,1,99.75,Electronic check,0.921,Critique,Appel client + remise 20% + proposer contrat annuel
1724-BQUHA,Month-to-month,Fiber optic,5,89.5,Electronic check,0.921,Critique,Appel client + remise 20% + proposer contrat annuel
4750-ZRXIU,Month-to-month,Fiber optic,4,84.6,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
6630-UJZMY,Month-to-month,Fiber optic,4,83.25,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
9305-CDSKC,Month-to-month,Fiber optic,8,99.65,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
3793-MMFUH,Month-to-month,Fiber optic,13,95.05,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
8414-MYSHR,Month-to-month,Fiber optic,5,91.4,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
3320-VEOYC,Month-to-month,Fiber optic,14,95.6,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
1273-MTETI,Month-to-month,Fiber optic,4,88.85,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
1455-UGQVH,Month-to-month,Fiber optic,10,98.5,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
3722-WPXTK,Month-to-month,Fiber optic,1,88.35,Electronic check,0.92,Critique,Appel client + remise 20% + proposer contrat annuel
2725-KXXWT,Month-to-month,Fiber optic,1,90.75,Electronic check,0.919,Critique,Appel client + remise 20% + proposer contrat annuel
7577-SWIFR,Month-to-month,Fiber optic,1,89.25,Electronic check,0.919,Critique,Appel client + remise 20% + proposer contrat annuel
1455-ESIQH,Month-to-month,Fiber optic,1,89.1,Electronic check,0.919,Critique,Appel client + remise 20% + proposer contrat annuel
0970-ETWGE,Month-to-month,Fiber optic,1,89.55,Electronic check,0.919,Critique,Appel client + remise 20% + proposer contrat annuel
3027-ZTDHO,Month-to-month,Fiber optic,1,89.9,Electronic check,0.919,Critique,Appel client + remise 20% + proposer contrat annuel
3319-DWOEP,Month-to-month,Fiber optic,6,95.75,Electronic check,0.919,Critique,Appel client + remise 20% + proposer contrat annuel
2865-TCHJW,Month-to-month,Fiber optic,4,89.2,Electronic check,0.918,Critique,Appel client + remise 20% + proposer contrat annuel
0187-QSXOE,Month-to-month,Fiber optic,7,89.0,Electronic check,0.918,Critique,Appel client + remise 20% + proposer contrat annuel
1075-BGWOH,Month-to-month,Fiber optic,16,98.75,Electronic check,0.918,Critique,Appel client + remise 20% + proposer contrat annuel
7943-RQCHR,Month-to-month,Fiber optic,9,94.75,Electronic check,0.918,Critique,Appel client + remise 20% + proposer contrat annuel
7274-RTAPZ,Month-to-month,Fiber optic,1,90.55,Electronic check,0.918,Critique,Appel client + remise 20% + proposer contrat annuel
9134-CEQMF,Month-to-month,Fiber optic,7,89.5,Electronic check,0.917,Critique,Appel client + remise 20% + proposer contrat annuel
4587-VVTOX,Month-to-month,Fiber optic,6,105.3,Electronic check,0.917,Critique,Appel client + remise 20% + proposer contrat annuel
8775-LHDJH,Month-to-month,Fiber optic,1,90.6,Electronic check,0.917,Critique,Appel client + remise 20% + proposer contrat annuel
3811-VBYBZ,Month-to-month,Fiber optic,7,99.8,Electronic check,0.917,Critique,Appel client + remise 20% + proposer contrat annuel
0196-VULGZ,Month-to-month,Fiber optic,6,84.35,Electronic check,0.917,Critique,Appel client + remise 20% + proposer contrat annuel
3902-FOIGH,Month-to-month,Fiber optic,12,101.35,Electronic check,0.917,Critique,Appel client + remise 20% + proposer contrat annuel
8603-IJWDN,Month-to-month,Fiber optic,1,86.6,Electronic check,0.917,Critique,Appel client + remise 20% + proposer contrat annuel
4847-TAJYI,Month-to-month,Fiber optic,6,89.35,Electronic check,0.916,Critique,Appel client + remise 20% + proposer contrat annuel
0754-UKWQP,Month-to-month,Fiber optic,2,95.85,Electronic check,0.915,Critique,Appel client + remise 20% + proposer contrat annuel
9282-IZGQK,Month-to-month,Fiber optic,1,85.0,Electronic check,0.915,Critique,Appel client + remise 20% + proposer contrat annuel
6474-FVJLC,Month-to-month,Fiber optic,2,86.0,Electronic check,0.915,Critique,Appel client + remise 20% + proposer contrat annuel
7225-CBZPL,Month-to-month,Fiber optic,17,94.8,Electronic check,0.915,Critique,Appel client + remise 20% + proposer contrat annuel
2968-SSGAA,Month-to-month,Fiber optic,10,100.6,Electronic check,0.915,Critique,Appel client + remise 20% + proposer contrat annuel
2982-VPSGI,Month-to-month,Fiber optic,11,94.0,Electronic check,0.915,Critique,Appel client + remise 20% + proposer contrat annuel
4912-PIGUY,Month-to-month,Fiber optic,1,84.6,Electronic check,0.914,Critique,Appel client + remise 20% + proposer contrat annuel
8972-HJWNV,Month-to-month,Fiber optic,7,84.55,Electronic check,0.914,Critique,Appel client + remise 20% + proposer contrat annuel
4927-WWOOZ,Month-to-month,Fiber optic,2,91.45,Electronic check,0.914,Critique,Appel client + remise 20% + proposer contrat annuel
0259-GBZSH,Month-to-month,Fiber optic,2,85.65,Electronic check,0.914,Critique,Appel client + remise 20% + proposer contrat annuel
2205-YMZZJ,Month-to-month,Fiber optic,7,84.8,Electronic check,0.914,Critique,Appel client + remise 20% + proposer contrat annuel
0897-FEGMU,Month-to-month,Fiber optic,11,99.5,Electronic check,0.914,Critique,Appel client + remise 20% + proposer contrat annuel
7526-BEZQB,Month-to-month,Fiber optic,12,96.05,Electronic check,0.913,Critique,Appel client + remise 20% + proposer contrat annuel
2265-CYWIV,Month-to-month,Fiber optic,4,99.6,Electronic check,0.913,Critique,Appel client + remise 20% + proposer contrat annuel
2034-GDRCN,Month-to-month,Fiber optic,2,90.4,Electronic check,0.913,Critique,Appel client + remise 20% + proposer contrat annuel
4115-NZRKS,Month-to-month,Fiber optic,7,89.15,Electronic check,0.913,Critique,Appel client + remise 20% + proposer contrat annuel
7668-XCFYV,Month-to-month,Fiber optic,17,92.55,Electronic check,0.913,Critique,Appel client + remise 20% + proposer contrat annuel
3606-TWKGI,Month-to-month,Fiber optic,13,106.9,Electronic check,0.913,Critique,Appel client + remise 20% + proposer contrat annuel
3489-HHPFY,Month-to-month,Fiber optic,2,84.05,Electronic check,0.913,Critique,Appel client + remise 20% + proposer contrat annuel
8593-WHYHV,Month-to-month,Fiber optic,3,85.3,Electronic check,0.913,Critique,Appel client + remise 20% + proposer contrat annuel
5383-MMTWC,Month-to-month,Fiber optic,8,84.0,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
4145-UQXUQ,Month-to-month,Fiber optic,8,92.1,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
4078-SAYYN,Month-to-month,Fiber optic,11,100.75,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
5565-FILXA,Month-to-month,Fiber optic,16,96.15,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
9965-YOKZB,Month-to-month,Fiber optic,9,83.85,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
3318-NMQXL,Month-to-month,Fiber optic,3,92.0,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
7228-OMTPN,Month-to-month,Fiber optic,4,88.45,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
8245-UMPYT,Month-to-month,Fiber optic,16,96.4,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
1624-NALOJ,Month-to-month,Fiber optic,5,89.8,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
1143-NMNQJ,Month-to-month,Fiber optic,2,85.7,Electronic check,0.912,Critique,Appel client + remise 20% + proposer contrat annuel
2642-DTVCO,Month-to-month,Fiber optic,9,85.05,Electronic check,0.911,Critique,Appel client + remise 20% + proposer contrat annuel
1875-QIVME,Month-to-month,Fiber optic,2,104.4,Electronic check,0.911,Critique,Appel client + remise 20% + proposer contrat annuel
9611-CTWIH,Month-to-month,Fiber optic,3,89.45,Electronic check,0.911,Critique,Appel client + remise 20% + proposer contrat annuel
1658-BYGOY,Month-to-month,Fiber optic,18,95.45,Electronic check,0.911,Critique,Appel client + remise 20% + proposer contrat annuel
5935-FCCNB,Month-to-month,Fiber optic,17,94.2,Electronic check,0.911,Critique,Appel client + remise 20% + proposer contrat annuel
5519-NPHVG,Month-to-month,Fiber optic,12,94.2,Electronic check,0.911,Critique,Appel client + remise 20% + proposer contrat annuel
0697-ZMSWS,Month-to-month,Fiber optic,4,85.65,Electronic check,0.911,Critique,Appel client + remise 20% + proposer contrat annuel
4192-GORJT,Month-to-month,Fiber optic,5,94.45,Electronic check,0.91,Critique,Appel client + remise 20% + proposer contrat annuel
9546-CQJSU,Month-to-month,Fiber optic,2,91.4,Electronic check,0.91,Critique,Appel client + remise 20% + proposer contrat annuel
3621-CEOVK,Month-to-month,Fiber optic,14,100.2,Electronic check,0.91,Critique,Appel client + remise 20% + proposer contrat annuel
9221-OTIVJ,Month-to-month,Fiber optic,14,104.85,Electronic check,0.909,Critique,Appel client + remise 20% + proposer contrat annuel
8337-UPOAQ,Month-to-month,Fiber optic,10,89.8,Electronic check,0.909,Critique,Appel client + remise 20% + proposer contrat annuel
7779-LGOVN,Month-to-month,Fiber optic,10,86.65,Electronic check,0.908,Critique,Appel client + remise 20% + proposer contrat annuel
8058-JMEQO,Month-to-month,Fiber optic,9,84.45,Electronic check,0.908,Critique,Appel client + remise 20% + proposer contrat annuel
4102-OQUPX,Month-to-month,Fiber optic,1,74.4,Electronic check,0.908,Critique,Appel client + remise 20% + proposer contrat annuel
1626-ERCMM,Month-to-month,Fiber optic,20,94.55,Electronic check,0.908,Critique,Appel client + remise 20% + proposer contrat annuel
6513-EECDB,Month-to-month,Fiber optic,1,73.55,Electronic check,0.908,Critique,Appel client + remise 20% + proposer contrat annuel
3727-RJMEO,Month-to-month,Fiber optic,6,82.85,Electronic check,0.907,Critique,Appel client + remise 20% + proposer contrat annuel
6683-VLCTZ,Month-to-month,Fiber optic,20,98.55,Electronic check,0.907,Critique,Appel client + remise 20% + proposer contrat annuel
0236-HFWSV,Month-to-month,Fiber optic,15,93.35,Electronic check,0.907,Critique,Appel client + remise 20% + proposer contrat annuel
3643-AHCFP,Month-to-month,Fiber optic,7,95.6,Bank transfer (automatic),0.907,Critique,Appel client + remise 20% + proposer contrat annuel
8580-AECUZ,Month-to-month,Fiber optic,1,79.1,Electronic check,0.907,Critique,Appel client + remise 20% + proposer contrat annuel
8473-VUVJN,Month-to-month,Fiber optic,1,73.65,Electronic check,0.907,Critique,Appel client + remise 20% + proposer contrat annuel
7398-SKNQZ,Month-to-month,Fiber optic,3,94.9,Electronic check,0.907,Critique,Appel client + remise 20% + proposer contrat annuel
3452-GWUIN,Month-to-month,Fiber optic,19,94.95,Electronic check,0.907,Critique,Appel client + remise 20% + proposer contrat annuel
3551-HUAZH,Month-to-month,Fiber optic,1,74.4,Electronic check,0.906,Critique,Appel client + remise 20% + proposer contrat annuel
0680-DFNNY,Month-to-month,Fiber optic,15,101.1,Electronic check,0.906,Critique,Appel client + remise 20% + proposer contrat annuel
5240-IJOQT,Month-to-month,Fiber optic,1,74.7,Electronic check,0.906,Critique,Appel client + remise 20% + proposer contrat annuel
4988-IQIGL,Month-to-month,Fiber optic,1,75.35,Electronic check,0.906,Critique,Appel client + remise 20% + proposer contrat annuel
7488-MXJIV,Month-to-month,Fiber optic,4,85.65,Electronic check,0.905,Critique,Appel client + remise 20% + proposer contrat annuel
6894-LFHLY,Month-to-month,Fiber optic,1,75.75,Electronic check,0.905,Critique,Appel client + remise 20% + proposer contrat annuel
0021-IKXGC,Month-to-month,Fiber optic,1,72.1,Electronic check,0.905,Critique,Appel client + remise 20% + proposer contrat annuel
6969-MVBAI,Month-to-month,Fiber optic,9,90.1,Electronic check,0.905,Critique,Appel client + remise 20% + proposer contrat annuel
6108-OQZDQ,Month-to-month,Fiber optic,4,97.95,Electronic check,0.905,Critique,Appel client + remise 20% + proposer contrat annuel
9248-OJYKK,Month-to-month,Fiber optic,1,76.45,Electronic check,0.905,Critique,Appel client + remise 20% + proposer contrat annuel
0702-PGIBZ,Month-to-month,Fiber optic,4,101.7,Electronic check,0.904,Critique,Appel client + remise 20% + proposer contrat annuel
0723-DRCLG,Month-to-month,Fiber optic,1,74.45,Electronic check,0.904,Critique,Appel client + remise 20% + proposer contrat annuel
2462-XIIJB,Month-to-month,Fiber optic,5,92.5,Electronic check,0.904,Critique,Appel client + remise 20% + proposer contrat annuel
7234-FECYN,Month-to-month,Fiber optic,8,101.35,Electronic check,0.904,Critique,Appel client + remise 20% + proposer contrat annuel
8739-XNIKG,Month-to-month,Fiber optic,5,84.0,Electronic check,0.904,Critique,Appel client + remise 20% + proposer contrat annuel
6230-BSUXY,Month-to-month,Fiber optic,1,85.0,Electronic check,0.904,Critique,Appel client + remise 20% + proposer contrat annuel
6688-UZPWD,Month-to-month,Fiber optic,11,102.0,Electronic check,0.904,Critique,Appel client + remise 20% + proposer contrat annuel
6567-HOOPW,Month-to-month,Fiber optic,1,79.2,Electronic check,0.903,Critique,Appel client + remise 20% + proposer contrat annuel
4548-SDBKE,Month-to-month,Fiber optic,5,85.2,Electronic check,0.903,Critique,Appel client + remise 20% + proposer contrat annuel
2027-FECZV,Month-to-month,Fiber optic,12,106.7,Electronic check,0.903,Critique,Appel client + remise 20% + proposer contrat annuel
1833-VGRUM,Month-to-month,Fiber optic,1,74.2,Electronic check,0.903,Critique,Appel client + remise 20% + proposer contrat annuel
5380-AFSSK,Month-to-month,Fiber optic,5,93.9,Mailed check,0.903,Critique,Appel client + remise 20% + proposer contrat annuel
2990-HWIML,Month-to-month,Fiber optic,6,89.5,Electronic check,0.903,Critique,Appel client + remise 20% + proposer contrat annuel
2672-HUYVI,Month-to-month,Fiber optic,6,91.1,Electronic check,0.902,Critique,Appel client + remise 20% + proposer contrat annuel
5299-SJCZT,Month-to-month,Fiber optic,3,101.55,Bank transfer (automatic),0.902,Critique,Appel client + remise 20% + proposer contrat annuel
9451-LPGOO,Month-to-month,Fiber optic,7,86.8,Electronic check,0.902,Critique,Appel client + remise 20% + proposer contrat annuel
4713-LZDRV,Month-to-month,Fiber optic,2,79.6,Electronic check,0.902,Critique,Appel client + remise 20% + proposer contrat annuel
9944-HKVVB,Month-to-month,Fiber optic,3,95.1,Electronic check,0.901,Critique,Appel client + remise 20% + proposer contrat annuel
0325-XBFAC,Month-to-month,Fiber optic,8,94.7,Electronic check,0.901,Critique,Appel client + remise 20% + proposer contrat annuel
1304-NECVQ,Month-to-month,Fiber optic,2,78.55,Electronic check,0.901,Critique,Appel client + remise 20% + proposer contrat annuel
4228-ZGYUW,Month-to-month,Fiber optic,4,90.05,Electronic check,0.901,Critique,Appel client + remise 20% + proposer contrat annuel
6161-UUUTA,Month-to-month,Fiber optic,3,79.9,Electronic check,0.901,Critique,Appel client + remise 20% + proposer contrat annuel
7156-MHUGY,Month-to-month,Fiber optic,13,90.5,Electronic check,0.9,Critique,Appel client + remise 20% + proposer contrat annuel
3097-NQYSN,Month-to-month,Fiber optic,2,86.85,Mailed check,0.9,Critique,Appel client + remise 20% + proposer contrat annuel
4094-NSEDU,Month-to-month,Fiber optic,21,94.25,Electronic check,0.9,Critique,Appel client + remise 20% + proposer contrat annuel
1941-HOSAM,Month-to-month,Fiber optic,1,90.1,Electronic check,0.9,Critique,Appel client + remise 20% + proposer contrat annuel
7576-OYWBN,Month-to-month,Fiber optic,3,76.05,Electronic check,0.9,Critique,Appel client + remise 20% + proposer contrat annuel
5955-ERIHD,Month-to-month,Fiber optic,18,94.7,Electronic check,0.9,Critique,Appel client + remise 20% + proposer contrat annuel
1579-KLYDT,Month-to-month,Fiber optic,7,90.45,Electronic check,0.9,Critique,Appel client + remise 20% + proposer contrat annuel
3096-GKWEB,Month-to-month,Fiber optic,18,94.75,Electronic check,0.9,Critique,Appel client + remise 20% + proposer contrat annuel
9809-IMGCQ,Month-to-month,Fiber optic,22,96.7,Electronic check,0.899,Critique,Appel client + remise 20% + proposer contrat annuel
1564-NTYXF,Month-to-month,Fiber optic,13,82.0,Electronic check,0.899,Critique,Appel client + remise 20% + proposer contrat annuel
8357-EQXFO,Month-to-month,Fiber optic,7,95.35,Electronic check,0.899,Critique,Appel client + remise 20% + proposer contrat annuel
4951-UKAAQ,Month-to-month,Fiber optic,4,88.95,Electronic check,0.899,Critique,Appel client + remise 20% + proposer contrat annuel
6615-NGGZJ,Month-to-month,Fiber optic,14,100.55,Electronic check,0.899,Critique,Appel client + remise 20% + proposer contrat annuel
5229-PRWKT,Month-to-month,Fiber optic,8,86.55,Electronic check,0.899,Critique,Appel client + remise 20% + proposer contrat annuel
8258-GSTJK,Month-to-month,Fiber optic,3,77.0,Electronic check,0.899,Critique,Appel client + remise 20% + proposer contrat annuel
8087-LGYHQ,Month-to-month,Fiber optic,9,94.05,Electronic check,0.898,Critique,Appel client + remise 20% + proposer contrat annuel
9725-SCPZG,Month-to-month,Fiber optic,1,90.85,Electronic check,0.898,Critique,Appel client + remise 20% + proposer contrat annuel
8382-SHQEH,Month-to-month,Fiber optic,8,84.9,Electronic check,0.898,Critique,Appel client + remise 20% + proposer contrat annuel
4060-LDNLU,Month-to-month,Fiber optic,7,96.2,Electronic check,0.898,Critique,Appel client + remise 20% + proposer contrat annuel
4086-YQSNZ,Month-to-month,Fiber optic,3,80.4,Electronic check,0.898,Critique,Appel client + remise 20% + proposer contrat annuel
3387-VATUS,Month-to-month,Fiber optic,5,94.85,Bank transfer (automatic),0.898,Critique,Appel client + remise 20% + proposer contrat annuel
1925-TIBLE,Month-to-month,Fiber optic,7,86.5,Electronic check,0.898,Critique,Appel client + remise 20% + proposer contrat annuel
0916-QOFDP,Month-to-month,Fiber optic,14,95.8,Electronic check,0.898,Critique,Appel client + remise 20% + proposer contrat annuel
0195-IESCP,Month-to-month,Fiber optic,10,85.25,Electronic check,0.896,Critique,Appel client + remise 20% + proposer contrat annuel
6892-EZDTG,Month-to-month,Fiber optic,4,91.65,Electronic check,0.896,Critique,Appel client + remise 20% + proposer contrat annuel
8931-GJJIQ,Month-to-month,Fiber optic,9,83.3,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
9231-ZJYAM,Month-to-month,Fiber optic,4,78.85,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
2691-NZETQ,Month-to-month,Fiber optic,9,85.35,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
4929-XIHVW,Month-to-month,Fiber optic,2,95.5,Credit card (automatic),0.895,Critique,Appel client + remise 20% + proposer contrat annuel
3178-FESZO,Month-to-month,Fiber optic,1,100.25,Credit card (automatic),0.895,Critique,Appel client + remise 20% + proposer contrat annuel
4273-MBHYA,Month-to-month,Fiber optic,1,89.35,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
4112-LUEIZ,Month-to-month,Fiber optic,10,89.5,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
7209-JCUDS,Month-to-month,Fiber optic,10,94.9,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
2868-MZAGQ,Month-to-month,Fiber optic,1,79.25,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
9290-SHCMB,Month-to-month,Fiber optic,13,96.85,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
2215-ZAFGX,Month-to-month,Fiber optic,9,85.5,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
4140-MUHUG,Month-to-month,Fiber optic,3,86.85,Electronic check,0.895,Critique,Appel client + remise 20% + proposer contrat annuel
4844-JJWUY,Month-to-month,Fiber optic,1,86.0,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
9189-JWSHV,Month-to-month,Fiber optic,24,93.55,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
2645-QTLMB,Month-to-month,Fiber optic,7,94.25,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
0365-BZUWY,Month-to-month,Fiber optic,17,102.55,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
1197-BVMVG,Month-to-month,Fiber optic,4,74.45,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
7249-WBIYX,Month-to-month,Fiber optic,10,85.6,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
0655-RBDUG,Month-to-month,Fiber optic,7,98.05,Bank transfer (automatic),0.894,Critique,Appel client + remise 20% + proposer contrat annuel
7548-SEPYI,Month-to-month,Fiber optic,5,96.25,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
0722-TROQR,Month-to-month,Fiber optic,4,74.9,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
6457-USBER,Month-to-month,Fiber optic,1,80.8,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
1389-CXMLU,Month-to-month,Fiber optic,3,91.05,Electronic check,0.894,Critique,Appel client + remise 20% + proposer contrat annuel
1761-AEZZR,Month-to-month,Fiber optic,1,79.55,Electronic check,0.893,Critique,Appel client + remise 20% + proposer contrat annuel
5956-VKDTT,Month-to-month,Fiber optic,5,74.35,Electronic check,0.893,Critique,Appel client + remise 20% + proposer contrat annuel
6734-GMPVK,Month-to-month,Fiber optic,5,105.3,Electronic check,0.893,Critique,Appel client + remise 20% + proposer contrat annuel
